code,code_message
0x00,"The IP has never been observed scanning the Internet"
0x01,"The IP has been observed by the GreyNoise sensor network"
0x02,"The IP has been observed scanning the GreyNoise sensor network, but has not completed a full connection, meaning this can be spoofed"
0x03,"The IP is adjacent to another host that has been directly observed by the GreyNoise sensor network"
0x04,"Reserved"
0x05,"This IP is commonly spoofed in Internet-scan activity"
0x06,"This IP has been observed as noise, but this host belongs to a cloud provider where IPs can be cycled frequently"
0x07,"This IP is invalid"
0x08,"This IP was classified as noise, but has not been observed engaging in Internet-wide scans or attacks in over 60 days"
0x09,"This IP was found in RIOT"
0x10,"The IP has been observed by the GreyNoise sensor network and was found in RIOT"
